Dictionary Name,Total Sentences (#),Total Correct Transformations (#),Total Pos->Pos Transformations (#),Correct Pos->Pos Transformations (#),Total Pos->Neg Transformations (#),Correct Pos->Neg Transformations (#),Correct Pos->Pos Transformations (%),Correct Pos->Neg Transformations (%),Total Correct Transformations (%),Total source tokens,Total Prediction Tokens per Source,Total Target Tokens per Source,Pos->Pos Token Precision (%),Pos->Neg Token Precision (%),Pos->Pos Token Recall (%),Pos->Neg Token Recall (%),Pos->Pos Category Precision (%),Pos->Neg Category Precision (%),Pos->Pos Category Recall (%),Pos->Neg Category Recall (%),Parseable Sentences (#),Pos->Pos Parseable Sentences (#),Pos->Neg Parseable Sentences (#),Parseable Sentences (%),Pos->Pos Parseable Sentences (%),Pos->Neg Parseable Sentences (%),Pos->Pos Preseve Tree Structures (%),Pos->Pos Preserve Significant Clauses (%),Pos->Neg Preseve Tree Structures (%),Pos->Neg Preserve Significant Clauses (%),Pos->Neg Predictions with Main Clause (#),Pos->Neg Predictions that Negate Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (%),Pos->Neg Predictions without Main Clause (#),Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),Pos->Neg Predictions with Main Clause (%),Pos->Neg Predictions Containing the Target Verb (%),Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb)
13.00,230.00,0.00,111.00,0.00,119.00,0.00,0.00,0.00,0.00,"1,547.00","1,567.00","1,666.00",0.31,0.30,0.34,0.28,0.44,0.40,0.47,0.38,126.00,63.00,63.00,0.55,0.57,0.53,0.03,0.03,0.03,0.04,53.00,49.00,4.00,0.08,10.00,0.41,0.92,0.45,0.44,0.35,0.81
14.00,177.00,0.00,86.00,0.00,91.00,0.00,0.00,0.00,0.00,"1,274.00","1,334.00","1,365.00",0.37,0.26,0.34,0.26,0.48,0.34,0.44,0.34,96.00,50.00,46.00,0.54,0.58,0.51,0.03,0.03,0.00,0.00,34.00,32.00,1.00,0.03,12.00,0.35,0.94,0.37,0.38,0.32,0.83
15.00,518.00,0.00,252.00,0.00,266.00,0.00,0.00,0.00,0.00,"3,990.00","3,885.00","4,256.00",0.37,0.37,0.36,0.33,0.49,0.49,0.47,0.45,236.00,111.00,125.00,0.46,0.44,0.47,0.01,0.01,0.02,0.02,100.00,97.00,2.00,0.02,25.00,0.36,0.97,0.38,0.55,0.43,0.78
16.00,347.00,0.00,161.00,0.00,186.00,0.00,0.00,0.00,0.00,"2,976.00","2,870.00","3,162.00",0.36,0.34,0.34,0.31,0.50,0.46,0.48,0.42,153.00,70.00,83.00,0.44,0.43,0.45,0.00,0.00,0.02,0.03,56.00,50.00,3.00,0.05,27.00,0.27,0.89,0.30,0.52,0.40,0.76
17.00,156.00,0.00,78.00,0.00,78.00,0.00,0.00,0.00,0.00,"1,326.00","1,205.00","1,404.00",0.39,0.31,0.34,0.27,0.55,0.43,0.48,0.37,72.00,42.00,30.00,0.46,0.54,0.38,0.01,0.01,0.00,0.00,16.00,14.00,2.00,0.13,14.00,0.18,0.88,0.21,0.41,0.32,0.78
18.00,52.00,0.00,22.00,0.00,30.00,0.00,0.00,0.00,0.00,540.00,452.00,570.00,0.32,0.31,0.29,0.25,0.45,0.44,0.41,0.35,32.00,14.00,18.00,0.62,0.64,0.60,0.00,0.05,0.00,0.00,10.00,10.00,0.00,0.00,8.00,0.33,1.00,0.33,0.40,0.37,0.92
19.00,257.00,0.00,138.00,0.00,119.00,0.00,0.00,0.00,0.00,"2,261.00","1,916.00","2,380.00",0.33,0.30,0.28,0.24,0.47,0.42,0.39,0.33,94.00,48.00,46.00,0.37,0.35,0.39,0.01,0.02,0.00,0.01,30.00,30.00,0.00,0.00,16.00,0.25,1.00,0.25,0.50,0.39,0.78
20.00,262.00,0.00,119.00,0.00,143.00,0.00,0.00,0.00,0.00,"2,860.00","2,347.00","3,003.00",0.34,0.33,0.28,0.25,0.47,0.43,0.38,0.33,83.00,44.00,39.00,0.32,0.37,0.27,0.00,0.01,0.00,0.01,27.00,25.00,2.00,0.07,12.00,0.17,0.93,0.19,0.50,0.32,0.64
21.00,175.00,0.00,83.00,0.00,92.00,0.00,0.00,0.00,0.00,"1,932.00","1,624.00","2,024.00",0.31,0.29,0.26,0.23,0.43,0.39,0.36,0.31,55.00,29.00,26.00,0.31,0.35,0.28,0.00,0.00,0.00,0.00,14.00,12.00,2.00,0.14,12.00,0.13,0.86,0.15,0.50,0.35,0.70
22.00,70.00,0.00,37.00,0.00,33.00,0.00,0.00,0.00,0.00,726.00,613.00,759.00,0.28,0.30,0.23,0.24,0.41,0.40,0.34,0.32,15.00,8.00,7.00,0.21,0.22,0.21,0.00,0.00,0.00,0.00,7.00,7.00,0.00,0.00,0.00,0.21,1.00,0.21,0.67,0.45,0.68
