Dictionary Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Preserve tree structures (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,97.54%,97.89%,99.28%,96.94%,91.8%,82.35%,80.71%,78.69%,71.05%,58.33%,25.0%
Preserve significant clauses (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.08%,95.79%,96.75%,95.41%,77.05%,55.88%,48.57%,52.46%,40.79%,25.0%,0.0%
Negates main clause (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.08%,95.79%,96.75%,95.41%,77.05%,55.88%,48.57%,49.18%,38.16%,20.83%,0.0%
Negates target (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.18%,98.95%,100.0%,99.49%,91.8%,91.18%,88.57%,86.89%,88.16%,83.33%,87.5%
Total source tokens,N/A,N/A,1548,516,5300,1614,210,160,8658,4800,2288,900,1586,1330,4155,3136,1037,612,2660,2440,1596,528,184
total prediction tokens per source,N/A,N/A,2064,645,6360,1883,240,180,9620,5280,2496,975,1710,1426,4432,3332,1098,642,2797,2557,1667,546,190
total target tokens per source,N/A,N/A,2064,645,6360,1883,240,180,9620,5280,2496,975,1708,1425,4432,3332,1098,646,2800,2562,1672,552,192
Pos->pos token precision,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.92%,99.85%,98.97%,98.06%,99.42%,98.86%,96.35%,86.13%,93.73%,90.55%,88.25%,80.67%,78.12%
Pos->neg token precision,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.3%,99.23%,99.59%,99.07%,95.08%,92.21%,91.85%,90.5%,88.9%,84.25%,68.42%
Pos->pos token recall,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.92%,99.85%,98.97%,98.24%,99.37%,98.86%,96.17%,85.6%,93.18%,90.29%,87.56%,78.57%,72.46%
Pos->neg token recall,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.41%,99.3%,99.59%,99.07%,95.08%,91.64%,91.75%,90.32%,88.64%,83.33%,67.71%
Pos->Pos category precision,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.49%,98.42%,99.83%,99.67%,97.85%,92.13%,98.16%,94.74%,93.91%,86.0%,85.94%
Pos->neg category precision,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.71%,99.51%,99.91%,99.28%,97.18%,95.48%,96.5%,96.01%,92.8%,91.76%,81.58%
Pos->pos category recall,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.49%,98.59%,99.78%,99.67%,97.67%,91.56%,97.58%,94.47%,93.18%,83.77%,79.71%
Pos->Neg category recall,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.82%,99.58%,99.91%,99.28%,97.18%,94.89%,96.39%,95.82%,92.52%,90.76%,80.73%
