Dictionary Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Preserve tree structures (pos->pos),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.77%,100.0%,100.0%,100.0%,100.0%,99.26%,99.18%,98.51%,100.0%,100.0%
Preserve significant clauses (pos->pos),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.77%,100.0%,100.0%,100.0%,100.0%,98.52%,98.36%,97.01%,92.86%,100.0%
Total parseable sentences pos->neg,N/A,N/A,516,129,1060,269,30,20,959,480,208,75,121,95,277,196,61,34,140,120,75,24,8
Parseable Sentences (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.69%,100.0%,100.0%,100.0%,99.18%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.36%,98.68%,100.0%,100.0%
Preserve tree structures (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.69%,100.0%,100.0%,100.0%,99.18%,100.0%,100.0%,100.0%,100.0%,100.0%,99.29%,98.36%,94.74%,100.0%,75.0%
Preserve significant clauses (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.69%,100.0%,100.0%,100.0%,99.18%,100.0%,100.0%,100.0%,100.0%,100.0%,99.29%,98.36%,93.42%,95.83%,75.0%
Negates main clause (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.69%,100.0%,100.0%,100.0%,99.18%,100.0%,100.0%,100.0%,100.0%,100.0%,99.29%,98.36%,93.42%,95.83%,75.0%
Negates target (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.69%,100.0%,100.0%,100.0%,99.18%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.68%,100.0%,100.0%
Total source tokens,N/A,N/A,1548,516,5300,1614,210,160,8658,4800,2288,900,1586,1330,4155,3136,1037,612,2660,2440,1596,528,184
total prediction tokens per source,N/A,N/A,2064,645,6360,1883,240,180,9620,5280,2496,975,1708,1425,4432,3332,1098,646,2804,2561,1673,552,186
total target tokens per source,N/A,N/A,2064,645,6360,1883,240,180,9620,5280,2496,975,1708,1425,4432,3332,1098,646,2800,2562,1672,552,192
Pos->pos token precision,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.56%,100.0%,100.0%,100.0%,100.0%,99.88%,99.55%,99.86%,99.68%,100.0%
Pos->neg token precision,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.97%,100.0%,100.0%,100.0%,99.94%,100.0%,100.0%,100.0%,100.0%,100.0%,99.86%,99.65%,99.22%,99.82%,97.85%
Pos->pos token recall,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.77%,99.96%,99.5%,99.68%,100.0%
Pos->neg token recall,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.97%,100.0%,100.0%,100.0%,99.94%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.61%,99.28%,99.82%,94.79%
Pos->Pos category precision,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.56%,100.0%,100.0%,100.0%,100.0%,99.92%,99.55%,100.0%,99.68%,100.0%
Pos->neg category precision,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.97%,100.0%,100.0%,100.0%,99.94%,100.0%,100.0%,100.0%,100.0%,100.0%,99.86%,99.65%,99.28%,100.0%,98.92%
Pos->pos category recall,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.81%,99.96%,99.64%,99.68%,100.0%
Pos->Neg category recall,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.97%,100.0%,100.0%,100.0%,99.94%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.61%,99.34%,100.0%,95.83%
